certificate,phase,sequence,terminal_phase,guard_index,tau
contraction_eta_31_50,0,beta12-beta22-beta12,0,9,1042351/20000000
return_to_radius_1_5,0,beta12-beta22-beta12,0,0,877/20000
return_to_radius_1_5,0,beta12-beta22-beta12,0,9,3059/1000000
return_to_radius_1_5,0,beta22-beta12-beta22,1,0,10751/200000
contraction_eta_31_50,0,beta22-beta22-beta12,0,15,1068929/1000000
return_to_radius_1_5,0,beta22-beta22-beta12,0,0,713/6250
return_to_radius_1_5,0,beta22-beta22-beta12,0,15,18399/250000
contraction_eta_31_50,1,beta12-beta12-beta22,1,17,15594573/25000000
return_to_radius_1_5,1,beta12-beta12-beta22,1,0,9853/250000
return_to_radius_1_5,1,beta12-beta12-beta22,1,17,16257/1000000
return_to_radius_1_5,1,beta12-beta22-beta12,0,0,5349/125000
terminal_phase_active,0,beta12-beta22-beta12,0,0,3507/200000
terminal_phase_active,0,beta12-beta22-beta12,0,1,32473/1000000
terminal_phase_active,0,beta22-beta12-beta22,1,0,6549/125000
terminal_phase_active,0,beta22-beta12-beta22,1,17,29891/200000
terminal_phase_active,0,beta22-beta22-beta12,0,0,16299/1000000
terminal_phase_active,0,beta22-beta22-beta12,0,15,97599/500000
terminal_phase_active,1,beta12-beta12-beta22,1,0,17377/1000000
terminal_phase_active,1,beta12-beta12-beta22,1,17,7539/40000
terminal_phase_active,1,beta12-beta22-beta12,0,0,1673/100000
terminal_phase_active,1,beta12-beta22-beta12,0,15,14157/100000
