length,phase,sequence,status,boxes_checked,witness_e1,witness_e2
1,0,beta00,INFEASIBLE,1,,
1,0,beta01,INFEASIBLE,1,,
1,0,beta02,INFEASIBLE,3,,
1,0,beta10,INFEASIBLE,1,,
1,0,beta11,INFEASIBLE,1,,
1,0,beta12,FEASIBLE,0,-77021/5000000,-120667/10000000
1,0,beta20,INFEASIBLE,1,,
1,0,beta21,INFEASIBLE,1,,
1,0,beta22,FEASIBLE,0,0,0
1,1,beta00,INFEASIBLE,1,,
1,1,beta01,INFEASIBLE,1,,
1,1,beta02,INFEASIBLE,1,,
1,1,beta10,INFEASIBLE,1,,
1,1,beta11,INFEASIBLE,1,,
1,1,beta12,FEASIBLE,0,-1/10,0
1,1,beta20,INFEASIBLE,1,,
1,1,beta21,INFEASIBLE,1,,
1,1,beta22,INFEASIBLE,37,,
2,0,beta12-beta00,INFEASIBLE,1,,
2,0,beta12-beta01,INFEASIBLE,1,,
2,0,beta12-beta02,INFEASIBLE,1,,
2,0,beta12-beta10,INFEASIBLE,1,,
2,0,beta12-beta11,INFEASIBLE,1,,
2,0,beta12-beta12,INFEASIBLE,15,,
2,0,beta12-beta20,INFEASIBLE,1,,
2,0,beta12-beta21,INFEASIBLE,1,,
2,0,beta12-beta22,FEASIBLE,0,-77021/5000000,-120667/10000000
2,0,beta22-beta00,INFEASIBLE,1,,
2,0,beta22-beta01,INFEASIBLE,1,,
2,0,beta22-beta02,INFEASIBLE,1,,
2,0,beta22-beta10,INFEASIBLE,1,,
2,0,beta22-beta11,INFEASIBLE,1,,
2,0,beta22-beta12,FEASIBLE,0,0,0
2,0,beta22-beta20,INFEASIBLE,1,,
2,0,beta22-beta21,INFEASIBLE,1,,
2,0,beta22-beta22,FEASIBLE,0,3/20,-1/10
2,1,beta12-beta00,INFEASIBLE,1,,
2,1,beta12-beta01,INFEASIBLE,1,,
2,1,beta12-beta02,INFEASIBLE,1,,
2,1,beta12-beta10,INFEASIBLE,1,,
2,1,beta12-beta11,INFEASIBLE,1,,
2,1,beta12-beta12,FEASIBLE,0,-1/10,0
2,1,beta12-beta20,INFEASIBLE,1,,
2,1,beta12-beta21,INFEASIBLE,1,,
2,1,beta12-beta22,FEASIBLE,0,0,0
3,0,beta12-beta22-beta00,INFEASIBLE,1,,
3,0,beta12-beta22-beta01,INFEASIBLE,1,,
3,0,beta12-beta22-beta02,INFEASIBLE,1,,
3,0,beta12-beta22-beta10,INFEASIBLE,1,,
3,0,beta12-beta22-beta11,INFEASIBLE,1,,
3,0,beta12-beta22-beta12,FEASIBLE,0,-77021/5000000,-120667/10000000
3,0,beta12-beta22-beta20,INFEASIBLE,1,,
3,0,beta12-beta22-beta21,INFEASIBLE,1,,
3,0,beta12-beta22-beta22,INFEASIBLE,1,,
3,0,beta22-beta12-beta00,INFEASIBLE,1,,
3,0,beta22-beta12-beta01,INFEASIBLE,1,,
3,0,beta22-beta12-beta02,INFEASIBLE,1,,
3,0,beta22-beta12-beta10,INFEASIBLE,1,,
3,0,beta22-beta12-beta11,INFEASIBLE,1,,
3,0,beta22-beta12-beta12,INFEASIBLE,73,,
3,0,beta22-beta12-beta20,INFEASIBLE,1,,
3,0,beta22-beta12-beta21,INFEASIBLE,1,,
3,0,beta22-beta12-beta22,FEASIBLE,0,0,0
3,0,beta22-beta22-beta00,INFEASIBLE,1,,
3,0,beta22-beta22-beta01,INFEASIBLE,1,,
3,0,beta22-beta22-beta02,INFEASIBLE,1,,
3,0,beta22-beta22-beta10,INFEASIBLE,1,,
3,0,beta22-beta22-beta11,INFEASIBLE,1,,
3,0,beta22-beta22-beta12,FEASIBLE,0,3/20,-1/10
3,0,beta22-beta22-beta20,INFEASIBLE,1,,
3,0,beta22-beta22-beta21,INFEASIBLE,1,,
3,0,beta22-beta22-beta22,INFEASIBLE,1,,
3,1,beta12-beta12-beta00,INFEASIBLE,1,,
3,1,beta12-beta12-beta01,INFEASIBLE,1,,
3,1,beta12-beta12-beta02,INFEASIBLE,1,,
3,1,beta12-beta12-beta10,INFEASIBLE,1,,
3,1,beta12-beta12-beta11,INFEASIBLE,1,,
3,1,beta12-beta12-beta12,INFEASIBLE,1,,
3,1,beta12-beta12-beta20,INFEASIBLE,1,,
3,1,beta12-beta12-beta21,INFEASIBLE,1,,
3,1,beta12-beta12-beta22,FEASIBLE,0,-1/10,0
3,1,beta12-beta22-beta00,INFEASIBLE,1,,
3,1,beta12-beta22-beta01,INFEASIBLE,1,,
3,1,beta12-beta22-beta02,INFEASIBLE,1,,
3,1,beta12-beta22-beta10,INFEASIBLE,1,,
3,1,beta12-beta22-beta11,INFEASIBLE,1,,
3,1,beta12-beta22-beta12,FEASIBLE,0,0,0
3,1,beta12-beta22-beta20,INFEASIBLE,1,,
3,1,beta12-beta22-beta21,INFEASIBLE,1,,
3,1,beta12-beta22-beta22,INFEASIBLE,1,,
