phase,sequence,certificate,terminal_phase,m0,m1,m2,m01,m02,m12,m012
0,beta12-beta22-beta12,contraction,0,55651612122703410402997528360518429976565573374101190450869070635009854181860095253193682869089923666120087141918305197583393391664040101881901093025464229565348519/49141266909651132281836817107277137007560216523520504546635823557695503448416518656117372252607708976472340960800278380946449352939550414216343750000000000000000000,1370680598805258258654486652089064958492649679446188882040886661886519435980272782862463580885934486522239488420194408950395250185347470026355816359559537155015153/2136576822158744881818992048142484217720009414066108893331992328595456671670283419831190097939465607672710476556533842649845624040850018009406250000000000000000000,3145845973951301514218938478202082078440889160985958628882784921915093937398931171211055836676713341654868418484013254636112639772870363079591937717683089165299118967487075543456226715489368061501330711675519/52265396191833661089426701008957485172212376378778411691692483542554435593772422246110843112136505779249350852173440490348207291559933848554740762961024713624523097023701726755977900017693634954650080000000000000,6575644954850828748366594242055335274963978690439435415428174494525007466749905584508249225599428281695227382512563104604329758578643658826215553415578214762484672274631526346625003689079876816645278828841857408542741422512617980486046849325147179095653671438974698196160043367/9176715470382005923460012044035926014199246998226520634031101413941978211064730945623406398275592193824781954077916568793965915283815148908173634743428071135625439484032338094710162707878821000267259205443126571618950815636019338736496919816458811328125000000000000000000000000,48823050420669214593325444516592653936927671722771452656756810522397829796576476172802039634682151511197751695261481875577984315058423591562176964168472203109438421519323600432726321474516200537697821459910237558682755010443783405732362220960228183515711028792161736693742585699397943502056178227170463353754522883877432473647272464107/6100075099318518556334330875523022352768436938512019382117513688515669761621640476800623156622555707386707317661470142507718126822751348827054360284247809447658998023416234225419085676779188044030704950070174567357048103657003683656199030805895732598287202808300032254530420026198818990558875530138011646250000000000000000000000000000000000,193741754343155248632739442695156768614312712479116485854383837236963531463134359271230629707137688051909266778100281519823770205808123343300498065551076206945294026811795060532625420933696986945082615814500487439172602031331087500021161082794727931034766008193620339671819038681277548034132656852196578220944190635491688516866022464107/6100075099318518556334330875523022352768436938512019382117513688515669761621640476800623156622555707386707317661470142507718126822751348827054360284247809447658998023416234225419085676779188044030704950070174567357048103657003683656199030805895732598287202808300032254530420026198818990558875530138011646250000000000000000000000000000000000,1045528391860738627976452376415715672727478502498551354805425392326882631937609551920303542937322977389304741543363896149470444346267393577778741472616497381676324131248582758147029183558944307540852092653433618608296532694876291948424077366137225994672587345886078159030018380214950139213134790972415657533326975676450530460158557586359645741716860695170123460588582794341/1263246150526610922384252774166442007343515385144503629499013807680238565006995037688950039296903771231013583186949689794854969493151663272290072681788093416338014046838611751856976480878603497946004530483207996886633022030467327686014333941174314279777624464985606807753607870057368073038091761620351289352709905285965229253274161028460723876953125000000000000000000000000000000
0,beta12-beta22-beta12,radius,0,835115734300359685230033978446088463335004853625055282641895260871432408877936283352953283011551285163/21640180768351711278238606136662802411833753052545833987618713917545330078125000000000000000000000000000,940562192640704537417528427909475795419169058418214256707327631932106363430315036959822471136551285163/21640180768351711278238606136662802411833753052545833987618713917545330078125000000000000000000000000000,175815806116127851960023210096577124919144387343181085224474919082196555976776030840898214955470610537333822688188937352587835184164079393262814061067/4603188695156215622876732865721153272327488597247374504817826652667513863161939308070096588383515801258094959929391312151754658000000000000000000000000,63479658852303794826765772750072060269351886326875328939279659714124250907593262276394960465480154889721412305710227/37893427641535418189159311689985464085659215910652257228575138560260397414845490097656250000000000000000000000000000000,4640948350589929382018236536890375579204387531048476961503511613285073892815665588802770228192706123982008776509797064062687210449435230422633894064239608360884306178981035808533431/3148631380285345925963081421012904457207098975057484318099738419291559232243343418632654296343589395493125377773622385447169450311133565101562500000000000000000000000000000000000000000,746705752673637830162460533369986925709487030014830452364733144936374500044504025663985661931715561947422264120277090008152729672098949810649527754014994143219331221368397972647633/449804482897906560851868774430414922458156996436783474014248345613079890320477631233236328049084199356160768253374626492452778615876223585937500000000000000000000000000000000000000000,2014612820672298760381651151796103081194829754724165633386875781354181663947927833372163109509487601182099966893111423093319632205652836108934568528433482231554933696020519969350548987/31486313802853459259630814210129044572070989750574843180997384192915592322433434186326542963435893954931253777736223854471694503111335651015625000000000000000000000000000000000000000000000
0,beta12-beta22-beta12,phase,0,2269938335101139266880611802412611073852596682199810188782370424593114895153158376373933443792338500632884888397249033263831120084416752579761938177253953070753233492508527602985805787968161/57638795275385807859257261549243149823501328210904791611867529240920700626770273560242053082904520782286825600214543071631645676042268162116768810266268148119987207500000000000000000000000000,39197341362278031057998261301581732540104126402721040601967917405548981807836674642833990588721964514060347092438592210163588920230868836295514696900694196981884778094651341311157612306694601/2363190606290818122229547723518969142763554456647096456086568698877748725697581215969924176399085352073759849608796265936897472717732994646787521220916994072919475507500000000000000000000000000,8290739683105520794811313648848407197837497786574228482726288701019563986609048135685900709834527716435952145961856154901640685355088099985127019936169946969009091290548157544681767094690979573941414498728366239540934511980613708370963109/502685832425503742372968274123576400269688311721553795894942017312130225431298822757274196390760935343256992108693306171680133634107255778091733378428373708454614758433625754822025744693436048980781016736283558788894802542080000000000000000,52412390767488370138239858682161285952010617832215834296501491898859270149144050563430240334503996764659890735206580644217574716012575747063810052832133442346893404724888473321717343917638389930068154438065204346100573154581469701148829705771291507237372144404074554524442828924244565556301/80646707354286254352894358162813677980768468993298328105050215910818869968468537293839703650152893374380822123614615822643462505604923217728239245651954046420053421730510907152098411843771065668340189463719757994624868922478058168218659288131708758476749622001000000000000000000000000000000000,27806442452632203411965628405356699620937079878068351470848400908092534788807200623370676685204113895446529196215626597156948458437801125410643893590072407855513752981390778888105842223360264817135734284606625731793756221832095293523788196015840992765501820564080326910368003283590036773204728250116304756832531588419252980361382892927915946896175780010863/42886888927672542680175098513645887681667006500381726198606660289237963587706931432828489716315589349079205537205730507511239085142615174382281164898531657877494807774777850962393203574296711562535774757506067506905042154136615588601710969879389533295299338586546744617282246013831432868183240457946103129937014657743360000000000000000000000000000000000000000,11731875741132916703244834223447476249356757915693089394840410236157914853491817940210522641144067232950420607898284171395242997256200386981201970247926177899568074208032956162928226829057194694669248057914287469087450913922178240191686498094714747631767207842952631906101674791540493738321039453738478609689398911607374074304628344234021538821408584010863/42886888927672542680175098513645887681667006500381726198606660289237963587706931432828489716315589349079205537205730507511239085142615174382281164898531657877494807774777850962393203574296711562535774757506067506905042154136615588601710969879389533295299338586546744617282246013831432868183240457946103129937014657743360000000000000000000000000000000000000000,9787222632067047794586252239009796617858163335900332618255493779500145553552348438425434925576988679336846679693880305435737256523469676252955564756028715321561449796381061296643044939107718652854756934674314320595552446386248202590377366089560809447072969812501437945394260847852612632941692689590953174162576283401518354631903791189308929858480899513698686585469459046178335286262077590016756000175578363529528030362008531604465284019584381758328484676234111/914729003311972835306986558088736937064588334852193168771205817588593412572360755343972850374719005094307197028964647690366027088763056494532319702899036496850774406252776740728572123152929551383259443989728050752139082162730134028314138410611887623801702088344369842231624632309952367046332348366755953562636565572298517567604984488837163975936194620071192240628347191955167180985446409473473602025642546798353280000000000000000000000000000000000000000000000000000
0,beta22-beta12-beta22,contraction,1,56043396500264296716364883868498584300156017050845079830702892186413883462729971459241164471387204438977845288901375120007126760184227619063524439007969996866598519/49141266909651132281836817107277137007560216523520504546635823557695503448416518656117372252607708976472340960800278380946449352939550414216343750000000000000000000,31386236564671970070164399265542729662998146531018994660072048433685143374296470768908675282421680699334719244660956293209283390748253513984805914191700871866598519/49141266909651132281836817107277137007560216523520504546635823557695503448416518656117372252607708976472340960800278380946449352939550414216343750000000000000000000,0,3745799153042648187038563500123349508692773522113819417096435632123231164518441139930010395222582202046024129155089695870359290981539976899348885519861126732567584944276846403194937796748433594871036494389/5210376561827401839823845740518709639027059834345954659384294827274711234204205034479389705659706272251471546141876982112727037889645460125871284156489291962509339446510359421484375000000000000000000000000,0,0,0
0,beta22-beta12-beta22,radius,1,42415646981634189889191804154286362516190197291109189354986267895364479600916783296732425078383253907/1103835817460956194171280582220294868722897445634374338225104497782814453125000000000000000000000000000,58701153364108031967896424394004196218234550654924097855433572671100061377494061444672757953383253907/1103835817460956194171280582220294868722897445634374338225104497782814453125000000000000000000000000000,189249/5000000,224588966595256913548589040554277543000904854936014357241786315737681711932056583048229774468615615554157/110383581746095619417128058222029486872289744563437433822510449778281445312500000000000000000000000000000000,8027118775627288802339659744394539819826478647145122976241796212929832399993900322123314713658952418645843/5519179087304780970856402911101474343614487228171871691125522488914072265625000000000000000000000000000000000,11109134573004080941892430420140900130104670476893730595042948194433015515629373634342874769919827418645843/5519179087304780970856402911101474343614487228171871691125522488914072265625000000000000000000000000000000000,42503237339185775632156927335856470735378242891785781093650818467040526301429776285294436588411036628008658093/551917908730478097085640291110147434361448722817187169112552248891407226562500000000000000000000000000000000000000
0,beta22-beta12-beta22,phase,1,2098228843114374890074734231949560367769078955384185648948830856574368270171109625289036744611886548308925876678069751913104192559624027706858235754495824626997498078437312985696854665163289/120543098167001482895729082604264514717152452351688162672817692316070317182263466729374615852682257699887937612999201308759091003733340364820515627108941980324386167500000000000000000000000000,6182872164974236788136797732859432849808111233625949748077157664541087183733449218010954138831764973141619870522750374086367782292454758305671196638360406426163029659498245124941679665163289/120543098167001482895729082604264514717152452351688162672817692316070317182263466729374615852682257699887937612999201308759091003733340364820515627108941980324386167500000000000000000000000000,3303173222872992794092449266239580900713617386414049103577877501049596751214522822585302443698928628992957731704304202139568660624259203639963069669549215608882902158580341/202666860480263651271019309327419949693694788055676985517264825553951351702793597537128677209709269174022064481073852397135128532337550028854347943357163624795747200000000000,384498914433281091734954394198357767282126572050836258549494518742923288432426016406557559084639095509151103770803263747993541334170059101937935554649111581178427540002928531911707619704264082725962629456128531684717761152581273053025572269409906533692063708569588110042809396225694138315395709588479/450208056634229124315845597427449543879457346552799135924489090990746864730278870463416763170039762518848769335810788722344308204455352658504186362673902776222237098596289017667966209853202866804476863314241810924053118704315178892422378795635772535389047765660776645283125000000000000000000000000000000,84902385135640386718906821957946161466512278983374452624270998903465937205382406070147868672879041021010610423448866090451516074939305717202357467740943073829212278525801239369921064137666736089734314625712626229722463801439668228144085036381108067937760206313482718763191303015256588481439700315052516385236114346388292941514876724273160074782552452061809221319/299268617911362579034070554195296227756218334754342623449903553795680210628308516357468776342644694131572408535960891946319665886965911211447407321663499086686073730041670116845719853055778763842778656531885938279263856242600710214002022121038133693860328941756460577139859434578829370702590422333948313781255446450615955208986000000000000000000000000000000000000000,250180454133200427125262433643480271043414888335847437651281650485668829716711878109499236187523254558732363930547575791262880158289942525907620215299474801388850435310954994922286415317600063811198707295603872183746927135574443055900082586879246114603642220277952057632105036627272068796392229279527137593100944210912175400555101060681492095847335049636809221319/299268617911362579034070554195296227756218334754342623449903553795680210628308516357468776342644694131572408535960891946319665886965911211447407321663499086686073730041670116845719853055778763842778656531885938279263856242600710214002022121038133693860328941756460577139859434578829370702590422333948313781255446450615955208986000000000000000000000000000000000000000,8833646809833227703860084366845813677879179452209818895919787395018232606447217855065602894569077244741596072509686908923726098434778303584345216906629803802117531739650317071642982581228221784329590634841194690257286597811917095400662743432307493409182741203291361620893590446858770510105375564109329536521247012479390283341536850911029882571998165397467244113766082532371072519629407075808113060803/634620265416723945275196995384501015858777149841011149139479814151547837436301465634312809759270166633070775888099916580573385213839688338186539051168194729058451196625754416166686600531417952557957720089170947324345108287038020467149986577642947852165671047714876448542604067134050096302775486679135062220736735496658782552283379534909209250616783103660237664500000000000000000000000000000000000000000000
0,beta22-beta22-beta12,contraction,0,667008700563004778520839162611527795867707553517660585655059794659428651863350573148045429529148272913830667746993530566340829125072115083794787571706739700071083688917130057/485860019386573713125950425349229315171902264954887908118119464444829429970879542227058327947428636265556288286257824782236544472955069548720641893705914062500000000000000000,313917307840233053281703628243730120235960800051528262575815480506990213693546492856467793491958141675150986827572088625750683499175770769498800950372302785570282876417130057/485860019386573713125950425349229315171902264954887908118119464444829429970879542227058327947428636265556288286257824782236544472955069548720641893705914062500000000000000000,360668639956844722481807944637895180907464151063332556315597645607996732459662799955813144095253374771062838141224672780768553530515109393372642056965702866335276292853737349911529580483/8694644528679179314575095037089309313546851256772521627444397575374545307965060707181886968679034831377026943662367850658262624472890820738333538095431055662946782353090842928000000000000,449575105735175452643603842150911935857603166455766227719689362817197371327475692421743750686747683145963335546049187946222876237502976204579243905614052614166920894500719263571538458332325060518964771046517484091156770290056681046801218943776274067939727762079807284115189313/518142330202751145543254014964367175821710588366336440686694750684754082957262167741682301237918783849840464687306623965055389862449667225299943276642179802993219656901317989035056112963526791190122933120625301673857143732480901265763195466475734277343750000000000000000000000,1290904556850350174140997492089102334892308508643308195305800361465308632434671779719499482750469001667633092198944688892353710661216403481329166214151419345709934558419969162742305314890261325899305300763183200455214083723626765416503033896735981454810481805063069937725255493723206624247323931677334169828621277425556999946113506178951/47920256232420192266532291850925978267464280490546302713084624078062325116329017635303431281306544083237120240567924750564662004431843290288017903265662709856614321137730557092178839474371280299063113753034527487573413129172293904230579988886941410387858386349396499689098497166191871518622082233484193000000000000000000000000000000000000,28340554810320333772188077883757666972728147441532185360247046201658021842114565974771948359174356034266934269964034437775523638425214155104047982298835179410157863628828036248553925994052793163318951602938541567203834274334974951860538053591033233947527225024519974593489460042565219522178681477519072229235996666690503006606110642115873/1102165893345664422130242712571297500151678451282564962400946353795433477675567405611978919470050513914453765533062269262987226101932395676624411775110242326702129386167802813120113307910539446878451616319794132214188501970962759797303339744399652438920742886036119492849265434822413044928307891370136439000000000000000000000000000000000000,1951406522176644667645622921914229983242892223780562170399918976150235886892285239568220894577657376499787665718120546272649756903352684137471997348832129436918124169705361031291416849957642477845109681078677750238586073467185000833632227650821686333551996921937014460591422620623329742428364265139831196771427930913585301226678378763828479778947160829781034015276720920805712163/116861035522182855069357270540864005521696049969445900704700040273128445857234744948735747332747988612755571261726915783493415390431095110351305773116923315375744305827178369525499340067700863061692916974791013404906228248000468366488442988562242833961936995641377372774564833749775647260876478926749735256259697494401958650431407119085837500000000000000000000000000000000000000000
0,beta22-beta22-beta12,radius,0,43515022362894159189641155105164638503600816564240559180041057522314036101788499592946324802974503907/1103835817460956194171280582220294868722897445634374338225104497782814453125000000000000000000000000000,122920216948141671719439008816518156643591097121717670831469521277016009810617948809230407677974503907/1103835817460956194171280582220294868722897445634374338225104497782814453125000000000000000000000000000,4496591448045779573327518781816150835040659543775152619332600788057030338321823471738174615557307680929900350786059/122522639662902161829596936600982352666137288246387592947569463586670472018877526980490122376127543177248000000000000,11197200087671059002170656476401570527361658619359380376501236829300358672445732706633662302568283342223592433523621/2674457566125395968484683266703606959085322622018206255617867975131696772542498968505859375000000000000000000000000000,257208571569541250552943672455830924013893951028558661870851749869889434273719062923493781554442392959298024221309710765281676599192032168084946622082003782338881292976265306531503/177780296838890733932047469137257411068639747327774225756475311783951034500502745660850802512798755996668375018434140514918345631396547091796875000000000000000000000000000000000000000,726556697031485530193537809171550362864233926182708647111392475912285295048334158568485443267610660686003473871850081072031323422212845770294505092833367992289473658104640306531503/177780296838890733932047469137257411068639747327774225756475311783951034500502745660850802512798755996668375018434140514918345631396547091796875000000000000000000000000000000000000000,85363934258623002409428361967067607219855581698627937044966721115671673991960780402403467020437281888380568056092787650741010617203863280936526198057192242692564337794740978392224139/555563427621533543537648341053929409589499210399294455488985349324846982814071080190158757852496112489588671932606689109119830098114209661865234375000000000000000000000000000000000000000
0,beta22-beta22-beta12,phase,0,8752924350794781557990665360384711869378825129284461264080683169208638181955988737588034167652383491393438446058808722455537944789936993936547626128357185098459214120946686537502652231258289/120543098167001482895729082604264514717152452351688162672817692316070317182263466729374615852682257699887937612999201308759091003733340364820515627108941980324386167500000000000000000000000000,2186755867366146771300269849649267930785154339871085999396538687458541805567717190617943305894713161570491387930686222843979075654049728898760931614376927001764765163347737260658077231258289/120543098167001482895729082604264514717152452351688162672817692316070317182263466729374615852682257699887937612999201308759091003733340364820515627108941980324386167500000000000000000000000000,10809547035864868923141695424424670624111297852513193678936182467310443665781241563077256502145122347783919437001537316062635540190773988334707318614719197217312126832884824340112341391321972217306980131522557/653317452397920763617833762611968564652654704734730146146156044281930444922155278076385538901706322240616885652168006129352591144499173106934259537012808920306538712796271584449723750221170436933126000000000000,967271669566055771400574824593078121740692877729789395934929509311928114592137904312698553313841756786038714085886550827847959627673939092750559064823279692799226500279011657185630211806422549857676570575312828167589217257608921882079001317913719364812744949451691985669550115148513830791499650461989/797354510022237186825979556301577361247684652497582919232516203561543785068149929175557890374888349147686289595176982200678396876326184378374183263028301084285813464369120211999736629924379799505952415292570016930309006358805557499098667426544225118694285249355431974339750000000000000000000000000000000,30432913737279610844361444262140827164447132403569393189709928757148427405832655137843458296661196723631258521931171468048476626409099256840855267547724912476108087412674401617820253080607351827427513539748585418187708737181118024346823067730766937623360271393331134653461875953126999964051011481285154807377825777262069156612217914097093716256078819988822313767441/26501434024048983135250739059102705640500941276708015349249907420862387508088073565805060357154491308350728957178816301475687252798628256755951628587779461143410800340408116164616761873792615178903497286952375696326483037354784287246771157475496714665253846731036763329404728698582511416840753234725323893132711621126957312539160000000000000000000000000000000000000000,7900237387599790401233217632717904775157280869363187153323543216016816791508163869112132783787500579526535474586536106973549720555512054287516735151780751936621364492911380219168972822069024501780165179355536830751226212971660975425772233270976229013383942266523114469625383160472445231852030141112480241541499879948161663445296592506894965532509224125647313767441/26501434024048983135250739059102705640500941276708015349249907420862387508088073565805060357154491308350728957178816301475687252798628256755951628587779461143410800340408116164616761873792615178903497286952375696326483037354784287246771157475496714665253846731036763329404728698582511416840753234725323893132711621126957312539160000000000000000000000000000000000000000,430993538669203850221373008553367945412794643698515459643600760862819814371073389745759775143162157998789712238940749366613362301013214866328515063728589215854651404492432908507715723202300823575573167987933109359172543800836573098999408257797782021989164656730921835643633611045904677448394812161744316978531125003728225651228352286888453896770377372822773693541493411970588453825834822734050201433099/22479265900505511177648185156710328649125782979069569278467108814770229983089761670996670274787970180618814485785096112103509330164286875796367404501527811620196238246136615109189753992627644251692641127192528367938514800075071816921876814423226423484689998513881549433455989866604804618635087435825862974126333529669933140969284251701316341601107071487845703948000000000000000000000000000000000000000000000
1,beta12-beta12-beta22,contraction,1,1564434133675713099331758665142267987462615470785380492713949389223052261922282019212347250344401268336155700162857656398066850932126954767875962757480811659412221390741834011691/2108704723562874285920216026016204662445815637853083334599259489831487054393071374687772868254941052636314641812924870758272988714914199290607534525252983984375000000000000000000,1389186742064500030061163806311713937280149013059358448682073396283513834896408446416263713255736849704840984086898620117508175407927726069310884652543758950440755272491834011691/2108704723562874285920216026016204662445815637853083334599259489831487054393071374687772868254941052636314641812924870758272988714914199290607534525252983984375000000000000000000,4930116704972201627838134951792867838981841891153937133287107580873098479729893253575752988849891609553440707891672427000514831484029063943675313582818079590192994479258251878356649159811/4261360166541089656719946054639579256620132744669442250661368641196878697992918958299641867338609101381163747499152362622916598549056185979810879670526603326973953429445439658800000000000000,1088778913292712724476805078786014398365802522050111032409006316559236586867127908822716710841663804099788257929594264566666542251120622006955427210852689214317378034190564465998035468980792261577728091534211174862510570303879969566062425468838544310365170585569907134616170642119/2248814752355828672060425520819648000829517446504085177319192077988128556338668707293700770644251146320353135340838108982249491958706413375472004015221542444704849951349329353705086688556898468126926456162174775811055519661127710105225832678570366274414062500000000000000000000000,22183310845233657221169634852573419779923927343772222296573221799252898181306852494831036030407333940773228900273610298364862127960919619567488943867639892152807729116994955833821655562598540782922750466378897367421593982120159309343446841138315327476405851082151349218770099345745644303405316567114911527607159333158405537153559692023004407/59794548139149767095636067733898605305841931963900274228567545713316830704109023754900127681051256784939860769520201725305408028320121898565724023658378075731832204327315973403340961464692987325031496550632657494138372515461135789231079061161961556556483034026794009462245632603182264543714428323121052408125000000000000000000000000000000000000,40285160888226616570517304123695211148288797195970039540334998254087807277862148863975864958414003341931579447160635710315074831784498264620559338206231347449589828411315389214457274595183756496249202492885740899027246047276501634774743828384959825532521581343187234475669645398563425407495038267156200788691637284604257046682114942023004407/59794548139149767095636067733898605305841931963900274228567545713316830704109023754900127681051256784939860769520201725305408028320121898565724023658378075731832204327315973403340961464692987325031496550632657494138372515461135789231079061161961556556483034026794009462245632603182264543714428323121052408125000000000000000000000000000000000000,182601401249898186568149491879955262788793992876765852374187859623568234344116977105906554959084930086109626334866216617031989020702882281083483536461269730364643615243413113400124889117333377370187809362670362889516374589226513848307980356616242502427567048386383197751193286802744883082655816733839551134579697022805683517390443500273377554916503715813227637913981779312410278931/905704052656690997761514717821532724579496477447052125769121883165164277364248563251678115489424511259828118587825944143935881564048382990418354266993006927929593358378727580040142350439980621199448737746174970098824342220849147151587708251357617294534521017321262613575356664686846936509013500634203594242409963455864700556653001537081929687500000000000000000000000000000000000000000
